,Disease,Symptoms,Sheet Link
1913,ICP(PseudotumorCerebri),,
1914,ICUAgitation,,
1915,IdiopathicFattyLiver(NonalcoholicFattyLiverDisease),,
1916,IdiopathicHypersomnolence(Hypersomnia),,
1917,IdiopathicHypertrophicSubaorticStenosis,,
1918,IdiopathicImmuneHepatitis,,
1919,IdiopathicIntracranialHypertension(PseudotumorCerebri),,
1920,Idiopathicmyelofibrosis(Myelofibrosis),,
1921,IdiopathicPulmonaryFibrosis,,
1922,IdiopathicScoliosis(Scoliosis),,
1923,IdiopathicShortStature,,
1924,IdiopathicThrombocytopenicPurpura,,
1925,IED(IntermittentExplosiveDisorder),,
1926,IgANephropathy,,
1927,IHSS(IdiopathicHypertrophicSubaorticStenosis),,
1928,IIH(PseudotumorCerebri),,
1929,Ileus(IntestinalObstruction),,
1930,ImmuneDysfunctionSyndrome(ChronicFatigueSyndrome),,
1931,ImmuneThrombocytopenicPurpura(IdiopathicThrombocytopenicPurpura),,
1932,Immunocytoma(WaldenströmMacroglobulinemia),,
1933,Immunodeficiency,,
1934,ImmunoglobulinDeficiency,,
1935,Immunosuppression,,
1936,ImpactionoftheBowels(FecalImpaction),,
1937,ImpairedFastingGlucose(InsulinResistanceSyndrome),,
1938,ImpairedGlucoseTolerance(InsulinResistanceSyndrome),,
1939,Impairedswallowing(Dysphagia),,
1940,Impetigo,,
1941,ImpingementSyndrome(MusclePain),,
1942,Impotence(ErectileDysfunction),,
1943,ImpulsivePersonalityDisorder(BorderlinePersonalityDisorder),,
1944,Inabilitytosleep(Insomnia),,
1945,IncisionalHernia,,
1946,InclusionBodyMyositis,,
1947,InclusionConjunctivitis,,
1948,Incontinence(UrinaryIncontinence),,
1949,"Incontinence,Urge(OveractiveBladder)",,
1950,Indigestion,,
1951,InductionofCyclicWithdrawalBleeding,,
1952,Infanthemangioma(Hemangioma),,
1953,InfantileEczema(Eczema),,
1954,Infantilehemangioendothelioma(BenignLiverTumor),,
1955,"Infection,Amoebic(Amebiasis)",,
1956,"Infection,AtypicalMycobacterial(AtypicalMycobacterialInfection)",,
1957,"Infection,Bacterial(BacterialInfection)",,
1958,"Infection,bladder(BladderInfection)",,
1959,"Infection,blastocystis(BlastocystisInfection)",,
1960,"Infection,Chlamydia(ChlamydiaInfection)",,
1961,"Infection,Fungal(FungalInfections)",,
1962,"Infection,Fungal,Body(TineaCorporis)",,
1963,"Infection,Fungal,Feet(TineaPedis)",,
1964,"Infection,Fungal,Fingernail(Onychomycosis,Fingernail)",,
1965,"Infection,Fungal,Groin(TineaCruris)",,
1966,"Infection,Fungal,Nails(Onychomycosis)",,
1967,"Infection,Fungal,Scalp(TineaCapitis)",,
1968,"Infection,Fungal,Toenail(Onychomycosis,Toenail)",,
1969,"Infection,postoperative(PostoperativeInfection)",,
1970,"Infection,sinus(Sinusitis)",,
1971,"Infection,Skin(SkinorSoftTissueInfection)",,
1972,"Infection,skin,bacterial(BacterialSkinInfection)",,
1973,"Infection,SoftTissue(SkinorSoftTissueInfection)",,
1974,"Infection,UrinaryTract(UrinaryTractInfection)",,
1975,"Infection,Whipworm(WhipwormInfection)",,
1976,"InfectionProphylaxis,BoneMarrowTransplantation",,
1977,"InfectionProphylaxis,ChronicLymphocyticLeukemia",,
1978,InfectionProphylaxis,,
1979,Infection,,
1980,InfectiousAnteriorUveitis,,
1981,"Infectiousdiarrhea,campylobacterenteritis(CampylobacterGastroenteritis)",,
1982,InfectiousDiarrhea,,
1983,InfectiousEndocarditis,,
1984,InfectiousEndophthalmitis,,
1985,InfectiousGastroenteritis,,
1986,InfectiousHeartDisease,,
1987,InfectiousHepatitiswithComa,,
1988,InfectiousHepatitis,,
1989,InfectiousMononucleosis,,
1990,InfectiousMyositis,,
1991,InfectiousOpticNeuritis,,
1992,InfectiousPericarditis,,
1993,InfectiousPosteriorUveitis,,
1994,Infiltrativecardiomyopathy(RestrictiveCardiomyopathy),,
1995,InflammatoryBowelDisease,,
1996,InflammatoryConditions,,
1997,InfluenzaA,,
1998,InfluenzaProphylaxis,,
1999,InfluenzawithPneumonia,,
2000,Influenza,,
2001,InguinalHernia,,
2002,InhalationAnthrax(Anthrax),,
2003,InhalationBacillusanthracis(Anthrax),,
2004,InhibitionofIntraoperativeMiosis,,
2005,"Injury,ankle(MusclePain)",,
2006,"Injury,anteriorcruciateligament(MusclePain)",,
2007,"Injury,calf(MusclePain)",,
2008,InsectBites,,
2009,"Insomnia,Stimulant-Associated",,
2010,Insomnia,,
2011,"InsulinDependentDiabetes(Diabetes,Type1)",,
2012,Insulinoma,,
2013,InsulinResistanceSyndrome(MetabolicSyndrome),,
2014,IntellectualDevelopmentDisorder(IntellectualDisability),,
2015,IntellectualDisability,,
2016,IntermittentClaudication,,
2017,IntermittentExplosiveDisorder,,
2018,InterstitialCystitis,,
2019,"Interstitialpneumonitis,fromasbestosexposure(PulmonaryFibrosis)",,
2020,InterstitialPneumonitis,,
2021,IntertriginousDermatitis(Intertrigo),,
2022,Intertrigo,,
2023,Intestinalamebiasis(Amebiasis),,
2024,IntestinalAnastomoses,,
2025,IntestinalArterialInsufficiency,,
2026,IntestinalNematodes,,
2027,IntestinalObstruction,,
2028,Intestinalvolvulus(IntestinalObstruction),,
2029,Intra-arterialDigitalSubtractionAngiography,,
2030,Intra-orPost-opSVTorHypertension,,
2031,IntraabdominalInfection,,
2032,Intracerebralhemorrhage(HemorrhagicStroke),,
2033,IntracranialHemorrhage(HemorrhagicStroke),,
2034,IntracranialHypertension(PseudotumorCerebri),,
2035,IntracranialTumors(BrainTumor),,
2036,IntraocularHypertension,,
2037,IntravascularVolumeDepletion,,
2038,IntravenousDigitalSubtractionAngiography,,
2039,IntravenousInsulinDrip,,
2040,IntravenousUrography,,
2041,Invasive&malignantmole(TrophoblasticDisease),,
2042,"InvasiveMucormycosis(Mucormycosis,Invasive)",,
2043,InversePsoriasis(Psoriasis),,
2044,InvoluntaryHypertonicity(MuscleSpasm),,
2045,IPD(BorderlinePersonalityDisorder),,
2046,IPF(IdiopathicPulmonaryFibrosis),,
2047,Iridocyclitis,,
2048,Iritis,,
2049,IronDeficiencyAnemia,,
2050,IronOverloadDisease(Hemochromatosis),,
2051,IronOverload,,
2052,"IronPoisoning,Acute",,
2053,"IronPoisoning,Chronic",,
2054,IronPoisoning,,
2055,IrregularHeartbeat(CardiacArrhythmia),,
2056,Irregularityofbowels(Constipation),,
2057,IrritableBladder(OveractiveBladder),,
2058,IrritableBowelSyndrome,,
2059,Ischemicbonenecrosis(AsepticNecrosis),,
2060,IschemicCardiomyopathy(IschemicHeartDisease),,
2061,IschemicHeartDisease,,
2062,"IschemicStroke,Prophylaxis",,
2063,IschemicStroke,,
2064,IschemicUlcers(DermalUlcer),,
2065,Itching(Pruritus),,
2066,ItchySkin(Pruritus),,
2067,ITP(IdiopathicThrombocytopenicPurpura),,
2068,IVCatheterClot,,
2069,JapaneseEncephalitisVirusProphylaxis,,
2070,Jaundice(Hyperbilirubinemia),,
2071,JetLag,,
2072,JockItch(TineaCruris),,
2073,JointInfection,,
2074,JointPain(Osteoarthritis),,
2075,JRA(JuvenileRheumatoidArthritis),,
2076,JunctionalPrematureDepolarizations,,
2077,JuvenileChronicPolyarthritis(JuvenileRheumatoidArthritis),,
2078,JuvenileIdiopathicArthritis,,
2079,"Juvenileonsetdiabetes(Diabetes,Type1)",,
2080,JuvenileRheumatoidArthritis,,
2081,Kaposi'sSarcoma,,
2082,KawasakiDisease(MucocutaneousLymphNodeSyndrome),,
2083,Keloids,,
2084,"Keratitis,dendritic(HerpeticKeratitis)",,
2085,Keratitis,,
2086,KeratoconjunctivitisSicca,,
2087,Keratoconjunctivitis,,
2088,Keratoses(Keratosis),,
2089,KeratosisPilaris,,
2090,Keratosis,,
2091,KidneyCancer(RenalCellCarcinoma),,
2092,KidneyFailure(RenalFailure),,
2093,KidneyInfections(Pyelonephritis),,
2094,KidneyInfections,,
2095,KidneyStones(Nephrolithiasis),,
2096,KidneyTransplant,,
2097,KidneyTumor(Wilms'Tumor),,
2098,Kissingdisease(InfectiousMononucleosis),,
2099,KlinefelterSyndrome,,
2100,KneeJointReplacement,,
2101,Kokdisease(Hyperekplexia),,
2102,Kyphoscoliosis(Scoliosis),,
2103,LABD(LinearIgADisease),,
2104,LaborandDelivery,,
2105,LaborInduction,,
2106,LaborPain,,
2107,LactationAugmentation,,
2108,LactationInsufficiency(LactationAugmentation),,
2109,LactationSuppression,,
2110,LactoseIntolerance,,
2111,LAD(LinearIgADisease),,
2112,LAM(Lymphangioleiomyomatosis),,
2113,Lambert-EatonMyasthenicSyndrome,,
2114,Lambert-EatonSyndrome(Lambert-EatonMyasthenicSyndrome),,
2115,Langerhans'CellHistiocytosis,,
2116,LarvalHelmenthiasis,,
2117,LaryngopharyngealReflux,,
2118,LateralCanthalLines(FacialWrinkles),,
2119,Launois-BensaudeSyndrome(Madelung'sDisease),,
2120,"LeadPoisoning,Mild",,
2121,"LeadPoisoning,Severe",,
2122,LeadPoisoning,,
2123,Leber'sDisease,,
2124,Ledderhose'sdisease(PlantarFibromatosis),,
2125,Ledderhosedisease(PlantarFibromatosis),,
2126,LeftVentricularDiastolicDysfunction(LeftVentricularDysfunction),,
2127,LeftVentricularDysfunction,,
2128,LeftVentricularHypertrophy(LeftVentricularDysfunction),,
2129,LeftVentriculography,,
2130,LegionellaPneumonia,,
2131,Leishmaniasis,,
2132,Lemierre'sSyndrome,,
2133,Lennox-GastautSyndrome,,
2134,"Leprosy,Borderline",,
2135,"Leprosy,Dapsone-Resistant",,
2136,"Leprosy,Dapsone-Sensitive",,
2137,"Leprosy,ErythemaNodosumLeprosum",,
2138,"Leprosy,Lepromatous",,
2139,"Leprosy,Tuberculoid",,
2140,Leprosy,,
2141,Leptospirosis,,
2142,Lesch-NyhanSyndrome,,
2143,Lethargy(Fatigue),,
2144,"Leukemia,AcuteChildhood(AcuteLymphocyticLeukemia)",,
2145,"Leukemia,AcuteGranulocytic(AcuteMyeloidLeukemia)",,
2146,"Leukemia,AcuteLymphocytic(AcuteLymphocyticLeukemia)",,
2147,"Leukemia,AcuteMyelogenous(AcuteMyeloidLeukemia)",,
2148,"Leukemia,AcuteMyeloid(AcuteMyeloidLeukemia)",,
2149,"Leukemia,AcutePromyelocytic(AcutePromyelocyticLeukemia)",,
2150,"Leukemia,ChronicEosinophilic(ChronicEosinophilicLeukemia)",,
2151,"Leukemia,ChronicGranulocytic(ChronicMyelogenousLeukemia)",,
2152,"Leukemia,ChronicLymphocytic(ChronicLymphocyticLeukemia)",,
2153,"Leukemia,HairyCell(HairyCellLeukemia)",,
2154,"Leukemia,Meningeal(MeningealLeukemia)",,
2155,Leukemia,,
2156,Leukemicreticuloendotheliosis(HairyCellLeukemia),,
2157,LeukocytoclasticVasculitis,,
2158,Leukocytosis,,
2159,Leukodystrophy,,
2160,LewyBodyDementia,,
2161,Lewybodydiseasewithdementia(LewyBodyDementia),,
2162,Lhermitte'sSign,,
2163,"Lice,body(Lice)",,
2164,"Lice,head(HeadLice)",,
2165,"Lice,pubic(Lice)",,
2166,Lice,,
2167,LichenPilaris(KeratosisPilaris),,
2168,LichenPlanus,,
2169,LichenSclerosus,,
2170,LichenSimplexChronicus,,
2171,LichenSimplexNuchae(LichenSimplexChronicus),,
2172,LightAnesthesia,,
2173,"Lightheadedness,dizzy(Vertigo)",,
2174,LightSedation,,
2175,Limitedscleroderma(Scleroderma),,
2176,LinearIgABullousDermatosis(LinearIgADisease),,
2177,LinearIgADisease,,
2178,LinearImmunoglobulinADermatosis(LinearIgADisease),,
2179,LipAugmentation,,
2180,LipEnhancement(LipAugmentation),,
2181,LipidMetabolismDisorders(HighCholesterol),,
2182,"Lipoatrophy,Facial(FacialLipoatrophy)",,
2183,Lipodystrophy,,
2184,Lipomatosisneurotica(Dercum'sDisease),,
2185,Liposarcoma,,
2186,LipPlumping(LipAugmentation),,
2187,LithiumTremor,,
2188,LiverAbscess,,
2189,LiverCirrhosis,,
2190,LiverDisease,,
2191,LiverFluke(Clornorchissinensis),,
2192,Liverhemangioma(BenignLiverTumor),,
2193,LiverMagneticResonanceImaging,,
2194,LiverMetastasisinAdenocarcinoma,,
2195,LiverTransplant(OrganTransplant),,
2196,"LiverTumor,Benign(BenignLiverTumor)",,
2197,LocalAnesthesia,,
2198,Localizedscleroderma(Scleroderma),,
2199,Loeffler'sSyndrome(PulmonaryEosinophilia),,
2200,Loiasis,,
2201,LongQTSyndrome,,
2202,Loosebowelmovements(Diarrhea),,
2203,Lossofbalance(Vertigo),,
2204,Lota(Pinta),,
2205,LouGehrig'sDisease(AmyotrophicLateralSclerosis),,
2206,LowBloodPressure(Hypotension),,
2207,LowBloodSugar(Hypoglycemia),,
2208,LowerLimbSpasticity,,
2209,LowPotassium(Hypokalemia),,
2210,"LowT(Hypogonadism,Male)",,
2211,"LowTestosterone(Hypogonadism,Male)",,
2212,LowThyroid(UnderactiveThyroid),,
2213,LumbarRadiculopathy(Radiculopathy),,
2214,LumbarSpinalStenosis(LumbarStenosis),,
2215,LumbarStenosis,,
2216,LumpyJaw(Actinomycosis),,
2217,"LungCancer,Non-SmallCell(Non-SmallCellLungCancer)",,
2218,"LungCancer,SmallCell(SmallCellLungCancer)",,
2219,LungCancer,,
2220,Lupus(SystemicLupusErythematosus),,
2221,LupusErythematosus,,
2222,LVH(LeftVentricularDysfunction),,
2223,Lyell'sSyndrome(ToxicEpidermalNecrolysis),,
2224,"LymeDisease,Arthritis",,
2225,"LymeDisease,Carditis",,
2226,"LymeDisease,ErythemaChronicumMigrans",,
2227,"LymeDisease,Neurologic",,
2228,LymeDisease,,
2229,Lymphadenopathy,,
2230,Lymphangioleiomyomatosis,,
2231,Lymphaticobstruction,,
2232,Lymphedema(Lymphaticobstruction),,
2233,LymphoblasticLymphoma(Non-Hodgkin'sLymphoma),,
2234,LymphocyticColitis,,
2235,LymphocyticLymphoma(Non-Hodgkin'sLymphoma),,
2236,Lymphocytopenia,,
2237,LymphogranulomaVenereum,,
2238,"Lymphoma,Burkitt(BurkittLymphoma)",,
2239,"Lymphoma,ConjunctivalMucosa-AssociatedLymphoidTissueLymphoma(ConjunctivalMucosa-AssociatedLymphoidTissueLymphoma)",,
2240,"Lymphoma,CutaneousT-cellLymphoma(CutaneousT-cellLymphoma)",,
2241,"Lymphoma,Histiocytic(Non-Hodgkin'sLymphoma)",,
2242,"Lymphoma,Hodgkin's(Hodgkin'sLymphoma)",,
2243,"Lymphoma,Lymphoblastic(Non-Hodgkin'sLymphoma)",,
2244,"Lymphoma,Lymphocytic(Non-Hodgkin'sLymphoma)",,
2245,"Lymphoma,Non-Hodgkin's(Non-Hodgkin'sLymphoma)",,
2246,Lymphoma,,
2247,LymphoplasmacyticLymphoma(WaldenströmMacroglobulinemia),,
2248,LysosomalAcidLipaseDeficiency,,
2249,MacrophageActivationSyndrome,,
2250,MacularDegeneration,,
2251,MacularEdema,,
2252,Madelung'sDisease,,
2253,MagnesiumImbalance,,
2254,MagneticResonanceAngiography,,
2255,MajorDepression(MajorDepressiveDisorder),,
2256,MajorDepressiveDisorder,,
2257,MalabsorptionSyndrome,,
2258,MalariaPrevention(MalariaProphylaxis),,
2259,MalariaProphylaxis(MalariaPrevention),,
2260,Malaria,,
2261,Malepatternbaldness(AndrogeneticAlopecia),,
2262,MalignantDisease(Cancer),,
2263,MalignantGlioma,,
2264,MalignantHepatoma(HepatocellularCarcinoma),,
2265,MalignantHyperthermia,,
2266,MalignantMelanoma(Melanoma),,
2267,MalignantPlasmacytoma(MultipleMyeloma),,
2268,MalignantPleuralEffusion,,
2269,MalignantPleuralMesothelioma,,
2270,MalignantTumor(Cancer),,
2271,Mallory-WeissSyndrome,,
2272,Malnourishment,,
2273,Mania,,
2274,ManicDepression(BipolarDisorder),,
2275,ManicDepressiveDisorder(BipolarDisorder),,
2276,ManicDepressiveIllness(BipolarDisorder),,
2277,ManicDisorder(Mania),,
2278,ManscapingPain,,
2279,MantleCellLymphoma,,
2280,MarfanSyndrome,,
2281,Mastocytosis,,
2282,McCune-AlbrightSyndrome,,
2283,MCD(MulticentricCastleman’sDisease),,
2284,MCI(MildCognitiveImpairment),,
2285,MCS(MultipleChemicalSensitivity),,
2286,MCTD(MixedConnectiveTissueDisease),,
2287,MD(MuscularDystrophy),,
2288,MDD(MajorDepressiveDisorder),,
2289,MDS(MyelodysplasticSyndrome),,
2290,ME&CFS(ChronicFatigueSyndrome),,
2291,ME(ChronicFatigueSyndrome),,
2292,MeaslesProphylaxis,,
2293,Measles,,
2294,MechanicalVentilation,,
2295,MediastinalInfection,,
2296,MedicalProcedures,,
2297,Mediterraneananemia(Thalassemia),,
2298,"MegaloblasticAnemia(Anemia,Megaloblastic)",,
2299,MeibomianCyst,,
2300,Meibomianglandlipogranuloma(MeibomianCyst),,
2301,"Melanoma,Metastatic",,
2302,Melanoma,,
2303,Melasma,,
2304,Melioidosis,,
2305,MembranoproliferativeGlomerulonephritis(Glomerulonephritis),,
2306,MembranousGlomerulonephritis(Glomerulonephritis),,
2307,MembranousNephropathy(Glomerulonephritis),,
2308,MemoryLoss(MildCognitiveImpairment),,
2309,Meniere'sDisease,,
2310,MeningealLeukemia,,
2311,"Meningitis,Haemophilusinfluenzae",,
2312,"Meningitis,Listeriosis",,
2313,"Meningitis,Lymphomatous",,
2314,"Meningitis,Meningococcal",,
2315,"Meningitis,Pneumococcal",,
2316,"Meningitis,StreptococcusGroupB",,
2317,Meningitis,,
2318,MeningococcalMeningitisProphylaxis,,
2319,MenopausalDisorders,,
2320,Menopause(MenopausalDisorders),,
2321,Menorrhagia,,
2322,MenstrualDisorders,,
2323,MentalRetardation(IntellectualDisability),,
2324,MeralgiaParesthetica,,
2325,MercuryPoisoning,,
2326,MerkelCellCarcinoma,,
2327,MERS(MiddleEastRespiratorySyndrome),,
2328,MERS?CoV(MiddleEastRespiratorySyndrome),,
2329,"Mesothelioma,Malignant(MalignantPleuralMesothelioma)",,
2330,"Mesothelioma,MalignantPleural(MalignantPleuralMesothelioma)",,
2331,MetabolicAcidosis,,
2332,MetabolicAlkalosis(Alkalosis),,
2333,MetabolicBoneDisorders,,
2334,MetabolicDisorders,,
2335,MetabolicSyndrome(InsulinResistanceSyndrome),,
2336,"Metagonimusyokogawai,IntestinalFluke",,
2337,"MetastaticBreastCancer(BreastCancer,Metastatic)",,
2338,Meteorism(AbdominalDistension),,
2339,MethanolPoisoning,,
2340,Methemoglobinemia,,
2341,Methicillin-ResistantStaphylococcusAureusInfection,,
2342,MethotrexateOverdosage,,
2343,MethotrexateRescue,,
2344,MevalonateKinaseDeficiency(HyperimmunoglobulinDSyndrome),,
2345,MF(Myelofibrosis),,
2346,MI(MitralInsufficiency),,
2347,Microcyticanemia(IronDeficiencyAnemia),,
2348,Microscopicpolyangiitis,,
2349,Microsporidiosis,,
2350,MiddleEarInfection(OtitisMedia),,
2351,MiddleEastRespiratorySyndrome,,
2352,MigraineHeadache(Migraine),,
2353,MigrainePrevention(MigraineProphylaxis),,
2354,MigrainePrevention,,
2355,MigraineProphylaxis(MigrainePrevention),,
2356,Migraine,,
2357,MildCognitiveImpairment,,
2358,"Miliarytuberculosis(Tuberculosis,Extrapulmonary)",,
2359,MilkEjection,,
2360,Ministroke(TransientIschemicAttack),,
2361,MinorBurns,,
2362,MinorCuts,,
2363,MinorSkinConditions,,
2364,MinorSkinIrritation,,
2365,Mitchell'sDisease(Erythromelalgia),,
2366,MitralIncompetence(MitralInsufficiency),,
2367,MitralInsufficiency,,
2368,MitralRegurgitation(MitralInsufficiency),,
2369,MitralStenosis,,
2370,Mitralvalveobstruction(MitralStenosis),,
2371,MitralValveProlapse,,
2372,MitralValveRegurgitation(MitralInsufficiency),,
2373,MitralValveReplacement(ProstheticHeartValves-ThrombosisProphylaxis),,
2374,MitralValveStenosis(MitralStenosis),,
2375,MixedConnectiveTissueDisease,,
2376,MKD(HyperimmunoglobulinDSyndrome),,
2377,MolluscumContagiosum,,
2378,Monilialvaginitis(VaginalYeastInfection),,
2379,"Moniliasis,Oral(OralThrush)",,
2380,MoniliformisInfection,,
2381,Mono(InfectiousMononucleosis),,
2382,Mononucleosis,,
2383,MoodDisorder(BipolarDisorder),,
2384,MorbusDupuytren(Dupuytren'scontracture),,
2385,MorbusLedderhose(PlantarFibromatosis),,
2386,Morning-AfterPill(EmergencyContraception),,
2387,MorningSickness(Nausea&VomitingofPregnancy),,
2388,Morphea(SystemicSclerosis),,
2389,Morphea-linear(Scleroderma),,
2390,MorquioSyndrome(MucopolysaccharidosisTypeIV),,
2391,Mossyfootdisease(Chromomycosis),,
2392,MotionSickness,,
2393,MotorNeuroneDisease(AmyotrophicLateralSclerosis),,
2394,MountainSickness&AltitudeSickness,,
2395,MouthAbscess(DentalAbscess),,
2396,MouthUlcer(AphthousUlcer),,
2397,MPA(Microscopicpolyangiitis),,
2398,MPD(DissociativeIdentityDisorder),,
2399,MPS(ChronicMyofascialPain),,
2400,MPSIV(MucopolysaccharidosisTypeIV),,
2401,MRA(MagneticResonanceAngiography),,
2402,MRSA(Methicillin-ResistantStaphylococcusAureusInfection),,
2403,MRSAInfection(Methicillin-ResistantStaphylococcusAureusInfection),,
2404,MS(MultipleSclerosis),,
2405,MSL(Madelung'sDisease),,
2406,MuckleWellsSyndrome,,
2407,MucocutaneousLymphNodeSyndrome(KawasakiDisease),,
2408,Mucolysis(Expectoration),,
2409,MucopolysaccharidosisTypeII,,
2410,MucopolysaccharidosisTypeIV,,
2411,MucopolysaccharidosisTypeI,,
2412,MucopolysaccharidosisTypeVI,,
2413,"Mucormycosis,Invasive",,
2414,Mucositis,,
2415,MucousPlugginginLungDisease,,
2416,Multi-infarctDementia(ArterioscleroticDementia),,
2417,Multi-infarctDementiawithDepression(ArterioscleroticDementiawithDepression),,
2418,MulticentricCastleman’sDisease,,
2419,MultifocalMotorNeuropathy,,
2420,Multinodularhepatichemangiomatosis(BenignLiverTumor),,
2421,MultipleAllergy(MultipleChemicalSensitivity),,
2422,MultipleChemicalSensitivity,,
2423,MultipleEndocrineAdenomas,,
2424,MultipleEndocrineAdenomatosis(MultipleEndocrineAdenomas),,
2425,MultipleEndocrineNeoplasiaTypeII,,
2426,"MultipleMyeloma,OsteolyticBoneLesions(OsteolyticBoneLesionsofMultipleMyeloma)",,
2427,MultipleMyeloma,,
2428,MultiplePersonalityDisorder(DissociativeIdentityDisorder),,
2429,MultipleSclerosisFatigue(Fatigue),,
2430,MultipleSclerosis,,
2431,MultipleSymmetricLipomatosis(Madelung'sDisease),,
2432,MumpsPancreatitis,,
2433,MumpsPolyneuropathy,,
2434,MumpsProphylaxis,,
2435,Musclefasciculation(MuscleTwitching),,
2436,MusclePain,,
2437,MuscleSpasm(InvoluntaryHypertonicity),,
2438,MuscleSpasm,,
2439,MuscleTwitching(Fasciculations),,
2440,MuscularAchesandPains(MusclePain),,
2441,MuscularDystrophy,,
2442,MWS(MuckleWellsSyndrome),,
2443,Myalgia(MusclePain),,
2444,MyalgicEncephalomyelitis&ChronicFatigueSyndrome(ChronicFatigueSyndrome),,
2445,MyalgicEncephalomyelitis(ChronicFatigueSyndrome),,
2446,MyastheniaGravis,,
2447,"Mycobacteriumavium-intracellulare,Prophylaxis",,
2448,"Mycobacteriumavium-intracellulare,Treatment",,
2449,Mycobacteriumavium-intracellulare,,
2450,Mycobacteriumkansasii,,
2451,MycoplasmaPneumonia,,
2452,MycosisFungoides,,
2453,MyelodysplasticDiseases,,
2454,MyelodysplasticSyndrome,,
2455,Myelofibrosis,,
2456,Myelography,,
2457,Myeloidmetaplasia(Myelofibrosis),,
2458,"Myeloma,Multiple(MultipleMyeloma)",,
2459,Myelomengocele(Spinabifida),,
2460,MyeloproliferativeDisorders,,
2461,MyocardialInfarction(HeartAttack),,
2462,"MyocardialInfarction,Prophylaxis",,
2463,MyofascialPainSyndrome(ChronicMyofascialPain),,
2464,MyofascialSyndrome(ChronicMyofascialPain),,
2465,MyoneuralDisorder,,
2466,Myopathy,,
2467,Myopia,,
2468,MyopicChoroidalNeovascularization,,
2469,MyotoniaCongenita,,
2470,MyotonicDystrophy(MuscularDystrophy),,
2471,MyotonicMuscularDystrophy(MuscularDystrophy),,
2472,MyxedemaComa,,
2473,Myxedema,,
2474,Myxomatousmitralvalve(MitralValveProlapse),,
2475,NAFLD(NonalcoholicFattyLiverDisease),,
2476,NailDystrophy,,
2477,"Nails,FungalInfection(Onychomycosis)",,
2478,Naophyetussalmincola,,
2479,Narcolepsy,,
2480,NasalAllergies(AllergicRhinitis),,
2481,NasalCarriageofStaphylococcusaureus,,
2482,NasalCongestion,,
2483,"NasalPolyps,Prevention",,
2484,NasalPolyps,,
2485,NASH(NonalcoholicFattyLiverDisease),,
2486,NasolabialFolds(FacialWrinkles),,
2487,"Nausea&Vomiting,ChemotherapyInduced",,
2488,"Nausea&Vomiting,Postoperative",,
2489,"Nausea&Vomiting,RadiationInduced",,
2490,Nausea&VomitingofPregnancy,,
2491,Nausea&Vomiting,,
2492,Nausea(Nausea&Vomiting),,
2493,NDPH(NewDailyPersistentHeadache),,
2494,Necator(HookwormInfection(NecatororAncylostoma)),,
2495,NeckPain,,
2496,Necrobacillosis(Lemierre'sSyndrome),,
2497,NecrobiosisLipoidicaDiabeticorum,,
2498,Necrotizingcolitis(PseudomembranousColitis),,
2499,NecrotizingPneumonia(AspirationPneumonia),,
2500,NeonatalConjunctivitis,,
2501,"Neoplasia,EstrogenDependent",,
2502,Neoplasia,,
2503,NeoplasmofBone,,
2504,NeoplasticDiseases,,
2505,Nephroblastoma(Wilms'Tumor),,
2506,Nephrocalcinosis,,
2507,NephrogenicDiabetesInsipidus,,
2508,Nephrolithiasis,,
2509,NephropathicCystinosis,,
2510,Nephropathy-IgA(IgANephropathy),,
2511,Nephropathy,,
2512,Nephrosis(NephroticSyndrome),,
2513,NephroticSyndrome,,
2514,NerveAgentPoisoning,,
2515,NerveAgentPretreatment,,
2516,NervePain(Neuralgia),,
2517,Neuralgia,,
2518,Neuritis,,
2519,Neuroblastoma,,
2520,NeurocardiogenicSyncope(Syncope),,
2521,Neurocysticercosis,,
2522,Neurodermatitis(LichenSimplexChronicus),,
2523,NeuroendocrineCarcinoma,,
2524,NeuroendocrineTumor(NeuroendocrineCarcinoma),,
2525,Neurofibromatosis-1(Neurofibromatosis),,
2526,Neurofibromatosis2(Neurofibromatosis),,
2527,Neurofibromatosis,,
2528,NeurogenicBladder,,
2529,NeurolepticMalignantSyndrome,,
2530,NeurologicalDisorders,,
2531,NeuromyelitisOptica,,
2532,NeuropathicPain,,
2533,Neuropathy(PeripheralNeuropathy),,
2534,Neuropathy-brachialplexus(BrachialPlexopathy),,
2535,Neurosarcoidosis,,
2536,Neurosis,,
2537,Neurosurgery,,
2538,Neurosyphilis,,
2539,NeuroticDepression,,
2540,NeurotrophicUlcer(DermalUlcer),,
2541,"Neutropenia,Autoimmune(AutoimmuneNeutropenia)",,
2542,NeutropeniaAssociatedwithAIDSorZidovudine,,
2543,NeutropeniaAssociatedwithChemotherapy,,
2544,NeutropeniaAssociatedwithRadiation,,
2545,Neutropenia,,
2546,New-OnsetAngina(Angina),,
2547,NewDailyPersistentHeadache,,
2548,NF(Neurofibromatosis),,
2549,NF1(Neurofibromatosis),,
2550,NF2(Neurofibromatosis),,
2551,NiacinDeficiency,,
2552,NiacinFlush,,
2553,Niemann-PickDisease,,
2554,NightCramps(NocturnalLegCramps),,
2555,NightLegCramps(NocturnalLegCramps),,
2556,Nightmares,,
2557,NightTerrors,,
2558,Nits(HeadLice),,
2559,Njovera(Bejel),,
2560,NKHHC(NonketoticHyperosmolarSyndrome),,
2561,Nocardiosis,,
